tcp_port,totalDifficulty,forkID,ip,is_dyndial,version,is_inbound,caps,head,last_time,udp_port,networkID,fullname,id,is_eth_handshake_complete,is_eth_handshake
30303,58750003716598352816469,{[220 233 108 45] 0},45.117.136.63,True,68,False,[eth/66 eth/67 eth/68],0x19e30bdee87b0b35d99a5341e9e5268ac3d781b148e1a437b5b36217e0a537aa,2024-01-24T11:32:03+08:00,30303,1,Nethermind/v1.21.1+9b435ba0/linux-x64/dotnet7.0.13,31e0bd2120e3f7bf20ccab77e2a39855e47f679b45a7d73f60a704f553492283,True,True
35152,4969312003328793712335,{[160 11 195 36] 7280000},209.6.130.194,False,68,True,[eth/67 eth/68 snap/1],0x6f08c164f1f92d3c74957ed012bf7cc7537c6e5890d1a148339aa0498a56b58e,2024-01-24T09:12:00+08:00,35152,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.21.6,1111078db69916b473b114e2c862c7c56817bc2c89fcf597a5836432ab44598f,True,True
18539,58750003716598352816469,{[220 233 108 45] 0},3.35.192.206,False,68,True,[eth/67 eth/68 snap/1],0xae0ec515607c3a9b3e11b4da73d3962d933e9965b9153a81a592d44f6b26e6fe,2024-01-24T09:12:38+08:00,18539,1,Geth/v1.13.5-stable-916d6a44/linux-amd64/go1.20.11,25d4fef4b375afc392ba71d96e6d8a45b4b50c4d4ce39ca12b0834f706501ba1,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},111.223.41.5,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x2675aef29b1f19f50bd8a12a5d3419336f8fa4ee055e55017442cdca351edf08,2024-01-24T17:43:34+08:00,30303,1,Geth/v1.12.0-stable-e501b3b0/linux-amd64/go1.20.3,23cd6fbeb9ac5cfbe32206ed38296e5670cd144735b012a8b32fd939c6f0cd19,True,True
59494,17179869184,{[252 100 236 4] 1150000},34.143.190.211,False,67,True,[eth/66 eth/67 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T09:13:44+08:00,59494,1,Geth/v1.10.26-stable-e5eb32ac/linux-amd64/go1.18.8,a83dab1223cf5d736e3434539ed51d022f744c9165d011d0730dba4a87236e2b,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},43.228.77.169,True,68,False,[eth/67 eth/68 snap/1],0x641fe4e3addfab24b67a2c38c5c811391e9f3462e2422e1b75f9c12dd829ca42,2024-01-24T10:13:25+08:00,30303,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.21.5,dcf560a4ca19ee0213d0a498f8298fcd0c5a96ca54c1bf5ccf69f2523ea344cb,True,True
30404,58750003716598352816469,{[220 233 108 45] 0},68.7.226.221,True,68,False,[eth/66 eth/67 eth/68 nodedata/1],0x4873bbbc49ac90a244544086fcf21c06ae64f5fca18006d84bffaabb15510cf7,2024-01-24T18:13:12+08:00,30404,1,Nethermind/v1.25.1+e37c10db/linux-x64/dotnet8.0.1,1efd751deac971db661f2f2a9a439cb59a56ef8879f2edcd5cc8bcbf15662b1d,True,True
53572,58750003716598352816469,{[220 233 108 45] 0},109.199.233.37,False,68,True,[eth/67 eth/68 snap/1],0x3a63fcbf35f33ca50056be48a20f2dbc5949446e5cc637db25e2351215d4d926,2024-01-24T09:14:12+08:00,53572,1,Geth/v1.13.5-stable-916d6a44/linux-amd64/go1.21.4,6c699330e293e8f3f2763bd3923ae519911fbc1a263b65f0b061e029b9ecc893,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},97.133.142.90,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xc9d2926ea85bcefb33bfca917c3406a35e9dec96a51896239abe637d803a6b93,2024-01-24T10:13:26+08:00,30303,1,Geth/v1.11.5-stable-a38f4108/linux-amd64/go1.20.2,17af99f4705345a10a891878974848ca3bfbf484d81be46d9a8cb973d62cb28d,True,True
30303,46803747993555857023336,{[32 195 39 252] 15050000},209.65.150.147,True,68,False,[eth/63 eth/64 eth/65 eth/66 eth/67 eth/68 snap/1],0x4bb002c6634b291a3f718a1d925ef43e03637e21719def8967e41eab2eb71904,2024-01-24T09:14:31+08:00,30303,1,besu/v24.1.0/linux-x86_64/openjdk-java-17,9333d0e5f824a0bcb805cafaffb88d3ad83692cc04c56861f6753cf8c1a1da94,True,True
